################################################################################
TIMESTAMPED TRANSCRIPT
[39:48] ahora y a los cuales habéis destruido
[40:03] rubio y destruido oyendo esto ha
[40:06] desmayado nuestro corazón y ha quedado
[40:09] más aliento en nombre alguno por causa
[40:12] de vosotros porque jehová vuestro dios
[40:15] es dios arriba en los cielos y abajo en
[40:18] la tierra es distinto
[40:21] determine temor que tienen y mente
[40:28] me gusta cómo se expresa robert manuel
[40:31] la expresión porque ella se da cuenta
[40:34] hermanos sirio de que había un dios
[40:36] verdadero o tribus
[40:37] había un dios que estaba a punto de
[40:40] liberar la hermano de una condición que
[40:43] ella se encontraba
[40:46] apuntó
[40:48] esa condición que estaba todos conocemos
[40:55] fue una mujer just woman fue una
[41:01] una prostituta porque era una prostituta
[41:06] por los casos de la vida
[41:11] tuvo que pasar con el hermano brian dice
[41:15] entonces de que de que ella llegó a ese
[41:18] es a ese punto de la vida
[41:22] la condición quizás por necesidad
[41:25] plásticos de benítez el hermano brian
[41:28] narra un poquito de werner y sé que ella
[41:31] ella quizás
[41:33] sus padres eran tan pobres software de
[41:39] que ella tuvo que tomar esos pasos
[41:43] en ese tiempo de vender su cuerpo quizá
[41:50] sus árboles eran tan pobres según
[41:54] software estaba en una condición muy
[41:56] pobre en el parque donde no tenía muchas
[41:59] opciones hermanos dejamos jugar ahora yo
[42:02] creo
[42:03] y aún no se puede identificar con ella
[42:05] de la nueva interfaz web porque nosotros
[42:07] sí que en el tiempo que estamos viviendo
[42:10] living en nosotros también estamos
[42:13] se nos presentan circunstancias de la
[42:15] vida
[42:17] donde empezamos a hacer ciertas cosas
[42:21] celtics y no porque queramos hacer los
[42:24] wizards duden sino porque son cosas que
[42:28] se nos son presentadas los de abertis de
[42:31] presente por las circunstancias o las
[42:33] necesidades que uno está teniendo con
[42:36] sonidos de we are having pero que dios
[42:39] me ayude en esta mañana hermano jaume
[42:40] this morning a poder proyectar los
[42:43] vivieron hablar
[42:44] aragón spears pero pero esa que se
[42:47] encontraba esta mujer hermanos wifi de
[42:49] su mente una mujer que estaba clamando
[42:51] en su corazón puede buscar en el grado
[42:53] que ya estaba clamando a dios y algo más
[42:56] alto que yo creo que ya estaba cansada
[42:59] de escuchar tantos dioses
[43:02] creo que ya estaba cansada hermanos en
[43:05] la condición que ella se encontraba
[43:07] condicional condición que hay
[43:10] esa es la condición que muchos de
[43:12] nosotros que yo dentro me miras veces
[43:15] bueno según la tradición caída bajo
[43:18] alguna condición donde no hay felicidad
[43:20] disfrute de una habitación donde donde
[43:23] donde le cuesta unos seguir adelante
[43:27] sabe sólo está parando weening muchas
[43:32] veces nosotros nos encontramos así
[43:34] hermanos
[43:35] hay muchos dioses en esta tierra
[43:38] américas y como dijo nuestro pastor su
[43:41] dios pues en su carro en sus hijos
[43:50] puede hacer cualquier cosa pero en esa
[43:55] condición se encontraba esta mujer
[43:58] dioses de dominicanos ya había escuchado
[44:01] de un dios en el cielo
[44:06] ahora nosotros sabemos que este dios
[44:12] está con nosotros
[44:15] todavía está trabajando hogares tumor
[44:17] quien no ha parado de trabajar
[44:20] sigue liberando y su nivel sigue sanando
[44:24] su nivel sigue trabajando porque quiero
[44:26] se toma de una rama el manejo de morir
[44:29] que se baje donde se descuenta ella
[44:33] necesita de un dios sobrenatural de
[44:35] inicio supernatural
[44:37] porque muchas veces hermanos militares
[44:40] pero nosotros queremos hacer las cosas a
[44:42] nuestra manera
[44:44] a nuestra manera y caminamos alguna
[44:48] manera y queremos hacer lo que los
[44:51] pensamientos vienen a nosotros pensamos
[44:55] que eso es lo mejor wiggin detrás pero
[44:58] nosotros tenemos que darnos cuenta
[44:59] mientras yo me tengo que dar cuenta de
[45:03] que yo necesito a este dios en mi vida
[45:05] en indios crema life pero aquí se
[45:08] encontraba esta mujer muy fan en una
[45:10] desesperación de expresión ella sabía
[45:14] sin que el pueblo se estaba acercando
[45:20] estaba con este pueblo de warwick sabía
[45:24] lo que dios estaba haciendo con ellos y
[45:26] 9 de julio
[45:28] nosotros hemos escuchado de nuestro
[45:30] hermano brian el profeta de la edad
[45:34] en ese tiempo de muertos resucitan
[45:40] paralíticos andaban de perlas
[45:43] deyde igual hemos escuchado a webber que
[45:46] me alcance ninguna enfermedad podía
[45:48] hacerle frente en su pronóstico tiempo
[45:50] los hemos escuchado verdad hermano yo he
[45:53] escuchado de esta verdad y nos gozamos
[45:56] en wii brillo pero hay una línea muy
[46:00] finita y el resto fan winder brothers
[46:02] donde eso es fue en el tiempo de nuestro
[46:07] hermano brand
[46:09] pero que de nuestro tiempo grabar en
[46:12] archivo de mí
[46:15] puede ser dios conmigo
[46:18] todavía no ha terminado guardias no
[46:20] importando una condición caída que nos
[46:23] encontremos y si no son claros todavía
[46:26] puede levantarnos o alguien del dinero
[46:28] nosotros necesitamos llegar a una
[46:30] condición como llevo de gorra ella se
[46:35] dio cuenta que necesitaba este dios soy
[46:38] fan de tintín y se dio cuenta que
[46:40] solamente dios podría liberar la banda
[46:42] de webber y dios la liberó hermano
[46:45] pero tuvo que pasar por un proceso
[46:50] los espías de este pueblo hermano
[46:55] ahora esta ciudad
[47:00] tan fuerte tan potente sus shows su
[47:03] perfume de que de acuerdo a los
[47:05] historiadores security destruir esas
[47:07] paredes 2 vols vivían alrededor de unos
[47:10] 16 pies
[47:11] posiblemente más sin fin
[47:15] para que usted se dé cuenta que altura
[47:19] puede quizás mirar la altura de este
[47:22] edificio
[47:25] la anchura
[47:26] era alrededor de unos 10 pies 9 pieza 13
[47:30] pies
[47:33] eran muy anchas
[47:35] bosworth para que se dé una idea a su
[47:38] hija una guía de esa pared posiblemente
[47:41] hasta donde estoy yo
[47:48] estaba tremendo su mente parecía que iba
[47:52] a ser imposible
[47:54] mi esposo cuando escuchamos la palabra
[47:56] de dios muy bueno parece que es
[47:58] imposible en sus oraciones puede cambiar
[48:01] un miserable
[48:05] tanto que me parece imposible
[48:09] dios me pueda liberar de una adicción un
[48:12] informe una drogadicción de cualquier
[48:16] tipo de vicio que uno pueda tener a mí
[48:20] me parece imposible y sin tiempo si las
[48:22] paredes pues parecen ser muy muy fuertes
[48:26] uruguay de interior y un futuro para
[48:28] dios no hay nada imposible
[48:30] no tienen para dios todo es posible
[48:34] y ya se especializa en huesca ya lo
[48:36] imposible hermano indie en paso y lo
[48:39] hace posible y meses pues sólo importa
[48:41] qué condiciones es haremos que se sigue
[48:44] trabajando al que entró pero tiene que
[48:47] ser las palabras de dior ha subido
[48:49] buscaban estando el corazón humano pero
[48:53] usted tiene que ser una cosa yo estoy
[48:55] tuvo en ti
[48:55] usted tiene que saber quién es dios y
[48:57] otros puede jugar y por qué esta mujer
[48:59] se dio cuenta de quién era dios
[49:01] escándalo y volar no quería estar en esa
[49:04] condición
[49:05] porque ella quería una liberación
[49:08] ella quería
[49:09] yo sé a quién servir por el coche sólo
[49:12] quería cualquier dios ilumine sin iker y
[49:14] al dios de dios hermanos descarga al
[49:17] creador de todas las cosas
[49:18] bolt y esto es lo que podemos mirar la
[49:21] escritura jóvenes y descripciones ya se
[49:23] dio cuenta y frank porque jehová vuestro
[49:26] dios es dios está arriba en los cielos y
[49:29] la tierra
[49:36] no quiero ser cualquier cosa vamos a
[49:41] servirle a alguien muy resolución vamos
[49:43] a servirle a nuestro creador de los
[49:46] cielos y la tierra
[49:48] el united es por el que estamos aquí
[49:52] no es porque usted lo ha escogido el
[49:55] único sitio si no hermanos nombrados él
[49:58] lo escogió he dicho sí pero
[50:03] mi pregunta es cómo entraron estos dos
[50:05] espías
[50:07] hunter
[50:10] y aquí se cumple el don de dios mira el
[50:16] corazón de sus hijos verdad si es dejar
[50:19] de discutir el mirón crisis y sólo que
[50:24] rafa estaba necesitando de nebrija y rap
[50:28] en rija tenía un deseo para ella por no
[50:34] solamente para ella no no el futuro sino
[50:37] para su familia
[50:38] el error fue muy de suelo sí hermanos
[50:41] brothers
[50:44] qué tremendo arte méndez que después que
[50:47] dios de word nos ha sacado de nuestra
[50:51] condición con esa condición entre
[50:55] paréntesis síntesis yo lo pongo en mi
[50:57] vida
[50:58] guatemala yo digo tengo mucho trabajo
[51:01] howard word tengo mucha familia y yo
[51:05] tengo que hablar de lo que dios me ha
[51:09] dado
[51:11] hay mucho trabajo hermano hay mucho
[51:14] trabajo que yo tengo que hacer
[51:17] hay muchas llamadas a muchos lugares que
[51:22] visitar
[51:23] hay muchos lugares que testificar
[51:27] pero tenemos que saber quién es nuestro
[51:29] dios we are the world is sí hermanos
[51:31] brothers ahora
[51:36] esta mujer nadie es women cuando miro
[51:39] estos espías consistorio de disparos se
[51:41] supo que no eran cualquier persona
[51:46] y ella pudo identificarlos y podemos ya
[51:48] no fallan ella pudo saber de dónde venía
[51:51] sus deudos know where they get con from
[51:52] ella era ella ella supo de dónde venían
[51:55] you were the clean from sí hermanos
[51:59] y me encanta eso porque ella tenía fe
[52:04] cristiana face
[52:06] ella tenía fe hermanos en facebook y su
[52:09] fe nos quedó allí en facebook su fe
[52:12] empezó a trabajar
[52:14] work su fe empezó a trabajar por
[52:17] nosotros nuestra fe tiene que trabajar
[52:20] hay que empezar a caminar esto tiene que
[52:24] empezar a conquistar
[52:26] tiene que empezar a a seguir trabajando
[52:30] para dios hermanos nuestra fe
[52:33] no puede quedarse quieta hermano que
[52:36] nadie
[52:44] nosotros tenemos que empezar a actuar
[52:46] tenemos que empezar a clamar industria
[52:49] train tenemos que empezar a gritar
[52:51] manuel beltrán ya sí hermanos y explote
[52:54] tiene que ver una desesperación dentro
[52:56] de unas viviendas
[52:57] racing dentro de mí hay una
[53:00] desesperación eso me hace estar contento
[53:03] con nada de este mundo hay una
[53:05] contribución hay una desfiguración más
[53:08] de dios
[53:10] dios de meterme más con de enamorarme
[53:14] más de dios no hay algo dentro de mí es
[53:18] un dije no me deja estar en el mismo
[53:20] lugar es no lo vamos a la ley 2051
[53:23] gritarle
[53:27] eso es lo que dios quiere
[53:30] que no nos quedemos en esta condición
[53:32] así que queremos salir de un coma
[53:36] nosotros tenemos que tener esas esperas
[53:39] desesperación cómo voy a querer salir de
[53:42] esa condición de querer salir de donde
[53:46] estamos de esa esclavitud
[53:49] nosotros tenemos que creer hermanos fui
[53:51] a to believe el predicador no va a
[53:54] forzar a nadie
[54:01] solamente usted y yo como este pintor
[54:05] que dice nuestro hermano brand
[54:08] que qué que qué estaba pasando por la
[54:12] crítica por el cuarto de crítica musgo
[54:15] cruise critic yo creo que
[54:17] lo hemos escuchado pero pero está esta
[54:21] pintura
[54:23] esta pintura no no no no tenía una chapa
[54:26] por fuera
[54:31] cuando le preguntaron todo está bien
[54:35] todo está hermoso
[54:40] pero solamente si le hubieras puesto una
[54:43] chapa
[54:44] hubiera sido una pintura perfecta
[54:47] gurbindo perfect mining y él le contestó
[54:49] en y en ser la chapa la tiene por dentro
[54:54] yo creo de esta manera hermana de alhuey
[54:56] nuestra chapa está por dentro y
[54:59] solamente yo la puedo abrir la puede
[55:03] abrir solamente usted conoce su
[55:06] condición y uno
[55:07] usted conoce su clamor
[55:11] pero usted le pertenece abrir el corazón
[55:13] a dios sobre vencido por llegar
[55:16] solamente usted lo puede hacer usted
[55:20] puede dar lo que usted quiera
[55:23] puede rodear el desierto pero tarde o
[55:28] temprano uno de ustedes se dará cuenta
[55:30] your life
[55:33] de que necesita abrir su corazón
[55:36] amén hermanos brothers
[55:40] mire
[55:43] dice en el mensaje como estuve como
[55:45] estés estaré contigo
[55:49] el hermano brand a esta gran
[55:53] llegó a ser una creyente
[55:56] víctima del libro yo leí su historia no
[55:59] hace mucho tiempo
[56:02] después que fue considerada introducida
[56:05] a la fe
[56:08] debido a su creencia en dios
[56:11] ella fue introducida a la fe israelita
[56:14] sus instituciones
[56:18] procede la ley dice un general del
[56:22] ejército
[56:24] del ejército israelita
[56:27] la cortejo
[56:31] observen lo que dios hizo por ella
[56:35] ellos tenían un ellos
[56:39] mudaron a belén y tuvieron un hijo
[56:45] y este hijo lo llamaron voz de sol de
[56:48] córdoba se dice de voz y bueno aquí
[56:52] habla de un poquito de la descendencia o
[56:54] de la genealogía de rap
[57:01] y uno se da cuenta hermanos muy fácil de
[57:05] que de que muchas veces many times
[57:09] nosotros
[57:10] uy no nos damos cuenta con fania o lo
[57:14] que dios está haciendo con uno de los
[57:16] volcanes diarios y adonde dios nos está
[57:19] llevando en web
[57:21] nosotros no sabemos muchas veces pero no
[57:23] me nytimes que lo que va a salir de
[57:25] nosotros es lo que dios tratando de
[57:28] hacer porque muchas veces nosotros
[57:31] mitjans we no queremos seguir adelante
[57:34] en el camino cristiano que se han
[57:37] encontrado donde yo me he encontrado
[57:39] hermanos frank el software mayo yo
[57:41] muchas veces no quiero seguir adelante
[57:43] muchas veces
[57:48] he querido quedar ya tranquilo
[57:56] pero no hermano y me dice tú no sabes lo
[58:06] que yo tengo para ti no sabes lo que yo
[58:09] tengo para ti
[58:11] lo que yo estoy haciendo
[58:13] tú lo sabes lo que tus hijos van a hacer
[58:17] wilson un futuro sabe si uno no lo que
[58:20] tus nietos van a ser libres son seguros
[58:22] sabes si yo no trabajo que tengo
[58:25] ultrajar a través de lo que tú puedas
[58:27] hacer uruguay yuqing eso es lo que me
[58:29] hace seguir adelante hermano
[58:32] voy a seguir peleando un mes mi equipo
[58:35] eso lo que me hace seguir sirviéndole
[58:37] ayuda a nuestro dios network y porque yo
[58:39] los hermanos pero no yo no sé solamente
[58:42] puedo mirar lo que voy aquí lo que está
[58:45] enfrente de mí aquí no de texto forma y
[58:47] ustedes no saben lo que dios está
[58:49] haciendo con ustedes yo no guardes jim
[58:51] wilson
[58:52] dios va a hacer con sus hijos lo que
[58:54] dios va a hacer con sus nietos
[58:56] no sabemos hermano y lo nombró solamente
[58:59] caminamos por fe
[59:00] y le creemos a el hermano del libro le
[59:03] creemos a él me lo dijo sí hermanos y
[59:06] explorers mire si hay un coraje que yo
[59:10] tengo es de pelear por lo que es mío
[59:16] yo no le dejó al
[59:19] que haga lo que quiera conmigo hermano
[59:21] así pues es humilde haga lo que quiera
[59:24] con mis seres queridos
[59:26] luis whitman que haga lo que quiera con
[59:28] la iglesia
[59:30] hermanos
[59:33] hay una pelea dentro de mí que yo voy en
[59:37] contra lo que sea hermano del
[59:40] quiere destruir a alguien
[59:47] yo no me quedo quieto yo peleo por lo
[59:51] que dios me ha dado firewall esquivo que
[59:53] dios me lo dio los wargames y me lo que
[59:56] dios me dio hermanos
[59:57] yo voy a estos personajes persona yo
[1:00:02] tengo que pelear por ello
[1:00:05] sí hermanos dios esta guerra de su menor
[1:00:09] hija ella creó en creyó el mensaje
[1:00:13] se le fue presentado es presente y no
[1:00:16] solamente lo tomó para ella misma lo
[1:00:19] tomó para toda su familia y ella ella
[1:00:23] tenía ese deseo por ellos y eso es lo
[1:00:30] que nosotros tenemos que hacer es pelear
[1:00:33] por lo que es de nosotros
[1:00:35] velar por esta iglesia pero no dejar que
[1:00:37] el haga lo que quiera
[1:00:41] hay que sacarlo de aquí no tenemos que
[1:00:46] permitir que haga lo que quiera
[1:00:53] para que permitir eso
[1:00:56] solamente nos estamos viendo nosotros
[1:00:59] mismos
[1:01:01] esta es nuestra familia
[1:01:06] ya me pase
[1:01:09] bueno
[1:01:12] mire nomás voy a leer esta escritura en
[1:01:17] hebreos 11 y bruselas dice por la fe
[1:01:22] 11 30
[1:01:25] por la fe cayeron los muros de jericó
[1:01:28] después de rodearla de rodearlos por
[1:01:31] siete días
[1:01:37] por la fe raab la no pereció
[1:01:41] juntamente con los desobedientes
[1:01:44] habiendo recibido a los espías en paz
[1:01:47] perfecto a la reja personal donde del
[1:01:50] ipn han sido espacios es por fermán os
[1:01:54] esperéis perder si usted tiene qué
[1:01:57] oír dirigir y tiene que creerlo con todo
[1:02:02] su corazón en bollywood heart y lo demás
[1:02:04] entre los demás de lo demás yo se va a
[1:02:08] encargar hermanos los chiqueros
[1:02:11] nuestro trabajo ahora es escuchar la
[1:02:15] palabra de dios y juzgar y creer lo con
[1:02:18] todos nuestros corazones no se encargará
[1:02:21] de tumbar esos muros garuti que siguen
[1:02:24] dando wall y liberarlos de nuestra
[1:02:26] condición de los libros hacemos el de
[1:02:28] condición es dios que pelea por nosotros
[1:02:32] hay un flight forest pero nosotros
[1:02:34] tenemos que caminar por fe we are the
[1:02:36] world we face
[1:02:38] dios les bendiga actuación' y así estará
[1:02:41] pasando nuestra mano pública
[1:02:44] [Aplausos]
[1:03:05] cuantos están contentos de estar en este
[1:03:08] lugar
[1:03:10] porque no se pone de pie conmigo en esta
[1:03:12] preciosa mañana morning
[1:03:16] este
[1:03:19] si puede abrir más su biblia en josué
[1:03:21] capítulo 6
[1:03:34] cuantos alaba en el nombre del señor
[1:03:37] jesucristo face and immunology sus
[1:03:39] claves
[1:03:40] lore dios aleluya agregar
[1:03:45] a ver si podemos poner la pantalla que
[1:03:50] y
[1:03:53] cuando lo tenga con un amén puede leerlo
[1:03:55] conmigo josué capítulo 6 versículo 25 lo
[1:03:58] más honestamente georgatou los expertos
[1:04:01] five
